   #t           x              T              E              p              E_d            a            T+E   
  0.0        -2.0000     5.6250e-02    -9.5928e-03     0.0000e+00     6.4867e-04    -3.2433e-07     4.6657e-02
  1.0        -1.9925     5.6245e-02    -9.5879e-03    -4.4487e-08     6.5634e-04    -3.2817e-07     4.6657e-02
  2.0        -1.9850     5.6240e-02    -9.5830e-03    -9.2059e-08     6.6409e-04    -3.3204e-07     4.6657e-02
  3.0        -1.9775     5.6235e-02    -9.5780e-03    -1.4285e-07     6.7192e-04    -3.3596e-07     4.6657e-02
  4.0        -1.9700     5.6230e-02    -9.5729e-03    -1.9699e-07     6.7984e-04    -3.3992e-07     4.6657e-02
  5.0        -1.9625     5.6225e-02    -9.5678e-03    -2.5462e-07     6.8785e-04    -3.4392e-07     4.6657e-02
  6.0        -1.9550     5.6220e-02    -9.5626e-03    -3.1587e-07     6.9594e-04    -3.4797e-07     4.6657e-02
  7.0        -1.9475     5.6215e-02    -9.5573e-03    -3.8091e-07     7.0411e-04    -3.5206e-07     4.6657e-02
  8.0        -1.9400     5.6209e-02    -9.5520e-03    -4.4987e-07     7.1238e-04    -3.5619e-07     4.6657e-02
  9.0        -1.9325     5.6204e-02    -9.5466e-03    -5.2290e-07     7.2073e-04    -3.6037e-07     4.6657e-02
 10.0        -1.9250     5.6198e-02    -9.5412e-03    -6.0016e-07     7.2917e-04    -3.6459e-07     4.6657e-02
 11.0        -1.9175     5.6193e-02    -9.5357e-03    -6.8182e-07     7.3770e-04    -3.6885e-07     4.6657e-02
 12.0        -1.9100     5.6187e-02    -9.5302e-03    -7.6803e-07     7.4632e-04    -3.7316e-07     4.6657e-02
 13.0        -1.9025     5.6182e-02    -9.5245e-03    -8.5896e-07     7.5502e-04    -3.7751e-07     4.6657e-02
 14.0        -1.8950     5.6176e-02    -9.5188e-03    -9.5478e-07     7.6382e-04    -3.8191e-07     4.6657e-02
 15.0        -1.8875     5.6170e-02    -9.5131e-03    -1.0557e-06     7.7271e-04    -3.8635e-07     4.6657e-02
